mode_main,distance,density,age,male,education,income,cars,license,bicycles,weekend,green,temp,precip,wind,group
1,25.0,1.5009,45,1,0.5,0.5,1,1,1,1,42.0725231376,-1.0,0.0,2.5,0
3,60.0,0.60057,59,0,1.0,0.5,1,1,1,1,42.3625027833,-1.0,0.0,2.5,1
3,60.0,3.41519,59,0,1.0,0.5,1,1,1,1,42.3625027833,-1.0,0.0,2.5,1
1,3.0,1.83952,24,0,0.5,0.5,2,1,3,1,35.6278681685,-1.0,0.0,2.5,1
1,3.0,2.43873,24,0,0.5,0.5,2,1,3,1,35.6278681685,-1.0,0.0,2.5,1
1,3.0,1.83952,24,0,0.5,0.5,2,1,3,1,35.6278681685,-1.0,0.0,2.5,1
1,3.0,2.43873,24,0,0.5,0.5,2,1,3,1,35.6278681685,-1.0,0.0,2.5,1
1,8.0,0.4115,37,0,0.5,1.0,2,1,4,1,45.7055410317,-1.0,0.0,2.5,1
1,8.0,0.4011,37,0,0.5,1.0,2,1,4,1,45.7055410317,-1.0,0.0,2.5,1
1,3.0,1.84577,43,0,0.5,1.0,1,1,5,1,26.8037238169,-0.5,0.0,2.8,1
1,3.0,2.76933,43,0,0.5,1.0,1,1,5,1,26.8037238169,-0.5,0.0,2.8,1
0,2.0,3.35851,74,1,0.0,1.0,2,1,2,1,8.76882196634,-0.5,0.0,2.8,0
0,2.0,2.76933,74,1,0.0,1.0,2,1,2,1,8.76882196634,-0.5,0.0,2.8,0
1,25.0,9.8804,35,0,1.0,1.0,1,1,1,1,15.849777212,-0.5,0.0,2.8,1
2,3.3,9.8804,35,0,1.0,1.0,1,1,1,1,15.849777212,-0.5,0.0,2.8,1
0,5.0,0.82393,58,1,1.0,1.0,1,1,2,1,64.5309714154,-1.0,0.0,2.5,0
2,15.0,0.82393,58,1,1.0,1.0,1,1,2,1,64.5309714154,-1.0,0.0,2.5,0
0,3.0,0.82393,58,1,1.0,1.0,1,1,2,1,64.5309714154,-1.0,0.0,2.5,0
0,0.5,0.82393,58,1,1.0,1.0,1,1,2,1,64.5309714154,-1.0,0.0,2.5,0
0,5.0,0.37713,28,1,1.0,1.0,3,1,7,1,56.0832137733,0.0,0.0,2.6,0
0,2.5,0.37713,28,1,1.0,1.0,3,1,7,1,56.0832137733,0.0,0.0,2.6,0
1,10.0,2.55752,43,0,0.5,0.5,1,1,1,1,26.7599067599,-1.0,0.0,2.5,1
1,10.0,3.19835,43,0,0.5,0.5,1,1,1,1,26.7599067599,-1.0,0.0,2.5,1
0,4.0,1.40366,63,1,0.5,1.0,1,1,4,1,57.6322989327,0.2,0.3,3.3,0
0,3.5,1.40366,63,1,0.5,1.0,1,1,4,1,57.6322989327,0.2,0.3,3.3,0
3,5.0,3.30011,57,1,1.0,0.5,0,0,1,1,13.6246786632,-0.5,0.0,2.8,-1
3,5.0,0.33637,57,1,1.0,0.5,0,0,1,1,13.6246786632,-0.5,0.0,2.8,-1
0,0.5,3.30011,57,1,1.0,0.5,0,0,1,1,13.6246786632,-0.5,0.0,2.8,-1
1,5.0,2.57451,41,1,1.0,1.0,1,1,5,1,26.3557072431,-1.0,0.0,2.5,0
